Value,Synonyms
Railroad,"railroad, railroads"
Railway,"railway, railways"
RapidTransit,"rapid transit, rapid transits"
RecreationalVehicle,"recreational vehicle, recreational vehicles"
Rickshaw,"rickshaw, rickshaws"
Riverboat,"riverboat, riverboats"
Roadster,"roadster, roadsters"
Rocket,"rocket, rockets"
Rover,"rover, rovers"
Rowboat,"rowboat, rowboats"
Runabout,"runabout, runabouts"
Rv,"rv, rvs"
Sailboat,"sailboat, sailboats"
Satellite,"satellite, satellites"
SchoolBus,"school bus, school buses"
Schooner,"schooner, schooners"
Scooter,"scooter, scooters"
Scull,"scull, sculls"
Seaplane,"seaplane, seaplanes"
Sedan,"sedan, sedans"
SedanChair,"sedan chair, sedan chairs"
Segway,"segway, segways"
Semi,"semi, semis"
Ship,"ship, ships"
Shuttle,"shuttle, shuttles"
SideWheeler,"side wheeler, side wheelers"
SkiLift,"ski lift, ski lifts"
SkiTow,"ski tow, ski tows"
Skiff,"skiff, skiffs"
Sled,"sled, sleds"
Sledge,"sledge, sledges"
Sleigh,"sleigh, sleighs"
SnowCat,"snow cat, snow cats"
Snowmobile,"snowmobile, snowmobiles"
Snowplow,"snowplow, snowplows"
SpaceShuttle,"space shuttle, space shuttles"
Spaceship,"spaceship, spaceships"
Speedboat,"speedboat, speedboats"
SportUtilityVehicle,"sport-utility vehicle, sport-utility vehicles"
SportsCar,"sports car, sports cars"
SquadCar,"squad car, squad cars"
Stagecoach,"stagecoach, stagecoaches"
StationWagon,"station wagon, station wagons"
Steamboat,"steamboat, steamboats"
Steamship,"steamship, steamships"
StockCar,"stock car, stock cars"
StretchLimo,"stretch limo, stretch limos"
Stroller,"stroller, strollers"
Subcompact,"subcompact, subcompacts"
Submarine,"submarine, submarines"
Submersible,"submersible, submersibles"
Subway,"subway, subways"
Surrey,"surrey, surreys"
Suv,"suv, suvs"
TBarLift,"t-bar lift, t-bar lifts"
Tank,"tank, tanks"
Tanker,"tanker, tankers"
Taxi,"taxi, taxis"
Taxicab,"taxicab, taxicabs"
Thresher,"thresher, threshers"
