Value,Synonyms
CougarGold,"cougar gold, cougar golds"
Coulommiers,coulommiers
Coverdale,"coverdale, coverdales"
CrayeuxDeRoncq,"crayeux de roncq, crayeux de roncqs"
CreamHavarti,"cream havarti, cream havartis"
CremaAgria,crema agria
CremaMexicana,"crema mexicana, crema mexicanas"
CremeFraiche,"creme fraiche, creme fraiches"
Croghan,"croghan, croghans"
CrottinDeChavignol,"crottin de chavignol, crottin de chavignols"
CrottinDuChavignol,"crottin du chavignol, crottin du chavignols"
Crowley,"crowley, crowleys"
Cuajada,"cuajada, cuajadas"
Curd,"curd, curds"
CureNantais,cure nantais
Curworthy,"curworthies, curworthy"
CwmtawePecorino,"cwmtawe pecorino, cwmtawe pecorinos"
Danbo,"danbo, danbos"
DanishFontina,"danish fontina, danish fontinas"
Daralagjazsky,"daralagjazskies, daralagjazsky"
Dauphin,"dauphin, dauphins"
DeliceDesFiouves,delice des fiouves
DenhanyDorsetDrum,"denhany dorset drum, denhany dorset drums"
DerbyCheese,"derby cheese, derby cheeses"
DessertnyjBelyj,"dessertnyj belyj, dessertnyj belyjs"
DevonBlue,"devon blue, devon blues"
DevonGarland,"devon garland, devon garlands"
Dolcelatte,"dolcelatte, dolcelattes"
Doolin,"doolin, doolins"
Doppelrhamstufel,"doppelrhamstufel, doppelrhamstufels"
DorsetBlueVinney,"dorset blue vinney, dorset blue vinneys"
DoubleGloucester,"double gloucester, double gloucesters"
DoubleWorcester,"double worcester, double worcesters"
DreuxALaFeuille,"dreux a la feuille, dreux a la feuilles"
DryJackCheese,"dry jack cheese, dry jack cheeses"
Duddleswell,"duddleswell, duddleswells"
Dunbarra,"dunbarra, dunbarras"
Dunlop,"dunlop, dunlops"
Duroblando,"duroblando, duroblandos"
Durrus,durrus
DutchMimolette,"dutch mimolette, dutch mimolettes"
Edam,"edam, edams"
Edelpilz,"edelpilz, edelpilzs"
Emlett,"emlett, emletts"
Emmental,"emmental, emmentals"
Esbareich,"esbareich, esbareiches"
Esrom,"esrom, esroms"
Etorki,"etorki, etorkis"
EvansdaleFarmhouseBrie,"evansdale farmhouse brie, evansdale farmhouse bries"
EvoraDeLAlentejo,"evora de l'alentejo, evora de l'alentejos"
Explorateur,"explorateur, explorateurs"
FarmerCheese,"farmer cheese, farmer cheeses"
Feta,feta
Figue,"figue, figues"
Filetta,filetta
