Value,Synonyms
ScreechOwl,"screech owl, screech owls"
ScrubJay,"scrub jaies, scrub jay"
Seabird,"seabird, seabirds"
Shearwater,"shearwater, shearwaters"
Shrike,"shrike, shrikes"
Skylark,"skylark, skylarks"
Snipe,"snipe, snipes"
SnowGoose,"snow geese, snow goose"
Snowbird,"snowbird, snowbirds"
SnowyOwl,"snowy owl, snowy owls"
Songbird,"songbird, songbirds"
Sparrow,"sparrow, sparrows"
Spoonbill,"spoonbill, spoonbills"
SpottedOwl,"spotted owl, spotted owls"
Starling,"starling, starlings"
Stint,"stint, stints"
Stork,"stork, storks"
Swallow,"swallow, swallows"
Swan,"swan, swans"
Swift,"swift, swifts"
Syrinx,"syrinx, syrinxes"
Tanager,"tanager, tanagers"
Tern,"tern, terns"
Thrasher,"thrasher, thrashers"
Thrush,"thrush, thrushs"
Toucan,"toucan, toucans"
TrumpeterSwan,"trumpeter swan, trumpeter swans"
Turkey,"turkeies, turkey"
TurtleDove,"turtle dove, turtle doves"
Umbrellabird,"umbrellabird, umbrellabirds"
Vireo,"vireo, vireos"
Vulture,"vulture, vultures"
Warbler,"warbler, warblers"
Waterthrush,"waterthrush, waterthrushs"
Waxwing,"waxwing, waxwings"
WesternMeadowlark,"western meadowlark, western meadowlarks"
WesternSpottedOwl,"western spotted owl, western spotted owls"
WhipPoorWill,"whip-poor-will, whip-poor-wills"
WhiteDove,"white dove, white doves"
WhitePelican,"white pelican, white pelicans"
WoodThrush,"wood thrush, wood thrushs"
Woodpecker,"woodpecker, woodpeckers"
Wren,"wren, wrens"
Xenops,"xenops, xenopses"
Yellowthroat,"yellowthroat, yellowthroats"
