Value,Synonyms
HudsonRiver,hudson river
HudsonStrait,hudson strait
HumboldtRiver,humboldt river
IguazuFalls,iguazu falls
IllinoisRiver,illinois river
IndalRiver,indal river
IndianOcean,indian ocean
IndusRiver,indus river
IonianSea,ionian sea
IrishSea,irish sea
IrtyshRiver,irtysh river
IskurRiver,iskur river
IvindoRiver,ivindo river
JamesBay,james bay
JamesRiver,james river
Jammerbugten,jammerbugten
JamunaRiver,jamuna river
JavaSea,java sea
JubbaRiver,jubba river
JucarRiver,jucar river
KadunaRiver,kaduna river
KandalakshaBay,kandalaksha bay
KansasRiver,kansas river
KanyaruRiver,kanyaru river
KaraSea,kara sea
KaraStrait,kara strait
KasaiRiver,kasai river
KattegatBay,kattegat bay
KemiRiver,kemi river
KennebecRiver,kennebec river
KentuckyLake,kentucky lake
KentuckyRiver,kentucky river
KhatangaGulf,khatanga gulf
KielBay,kiel bay
KogeBay,koge bay
Kokemaer,kokemaer
KomoeRiver,komoe river
KoreaStrait,korea strait
KoroSea,koro sea
KubanRiver,kuban river
KuraRiver,kura river
KwangoRiver,kwango river
KyparissiaGulf,kyparissia gulf
LaPerouseStrait,la perouse strait
LabeRiver,labe river
LabradorSea,labrador sea
LacDeGuiers,lac de guiers
LaccadiveSea,laccadive sea
LakeAbaya,lake abaya
LakeAbhe,lake abhe
LakeAlbert,lake albert
LakeAssal,lake assal
LakeAthabasca,lake athabasca
LakeBalkhash,lake balkhash
LakeBangweulu,lake bangweulu
LakeBarkley,lake barkley
LakeBaykal,lake baykal
LakeBodensee,lake bodensee
LakeChad,lake chad
LakeChamplain,lake champlain
LakeChew,lake chew
LakeChilwa,lake chilwa
LakeCohaha,lake cohaha
LakeComo,lake como
LakeConstance,lake constance
LakeDorian,lake dorian
LakeEbire,lake ebire
LakeEdward,lake edward
LakeErie,lake erie
LakeErne,lake erne
LakeEyre,lake eyre
LakeGarda,lake garda
LakeGatun,lake gatun
LakeGeneva,lake geneva
LakeGeorge,lake george
LakeHuron,lake huron
LakeIhema,lake ihema
LakeInari,lake inari
LakeIzabal,lake izabal
LakeKariba,lake kariba
LakeKossou,lake kossou
LakeKwania,lake kwania
LakeKyoga,lake kyoga
LakeLadoga,lake ladoga
LakeLucerne,lake lucerne
LakeLugano,lake lugano
LakeMaggiore,lake maggiore
LakeMalawi,lake malawi
LakeMalombe,lake malombe
LakeManagua,lake managua
LakeManitoba,lake manitoba
LakeManzala,lake manzala
LakeMaracaibo,lake maracaibo
LakeMead,lake mead
LakeMichigan,lake michigan
LakeMuritz,lake muritz
LakeMweru,lake mweru
LakeNasijarv,lake nasijarv
LakeNassar,lake nassar
LakeNeagh,lake neagh
LakeNeuchatel,lake neuchatel
LakeNicaragua,lake nicaragua
LakeNipigon,lake nipigon
LakeNyasa,lake nyasa
LakeOfTheWoods,lake of the woods
LakeOhrid,lake ohrid
LakeOkeechobee,lake okeechobee
LakeOnega,lake onega
LakeOntario,lake ontario
LakeOulujarvi,lake oulujarvi
LakeOzeroSivash,lake ozero sivash
LakePaijanne,lake paijanne
LakePeipus,lake peipus
LakePielinen,lake pielinen
LakePontchartrain,lake pontchartrain
LakePoopo,lake poopo
LakePowell,lake powell
LakePrespa,lake prespa
LakePskov,lake pskov
